# strong X-ray emission lines with Emissivity>1e-18
# with 0.1 keV < energy < 10.1 keV
# www.atomdb.org/Webguide, uses atomDB 3.0.2
ion	ionization_stage	energy	wavelength	upper_lev	lower_lev	emissivity	kT	relative_intensity
#(-)	(-)	(keV)	(A)	(level)	(level)	(ph*cm3/s)	(keV)	(-)
Fe	XVII	0.739	16.7774303112	5	1	1.423E-015	0.5437	0.15
Cr	XVII	0.738	16.8001639566	54	1	1.822E-018	0.5437	0
Fe	XIX	0.738	16.8001639566	18	6	1.045E-018	0.8617	0
Fe	XIX	0.737	16.8229592944	17	6	5.222E-018	0.8617	0
Fe	XVI	0.737	16.8229592944	40	2	1.12E-018	0.3431	0
Cr	XV	0.736	16.8458165761	33	1	1.364E-018	0.4319	0
Fe	XVI	0.736	16.8458165761	143	9	1.275E-018	0.4319	0
Fe	XVI	0.734	16.8917179837	40	3	3.407E-018	0.3431	0
O	VII	0.733	16.9147626194	195	1	5.386E-018	0.2165	0
Fe	XVI	0.733	16.9147626194	64	4	1.334E-018	0.4319	0
O	VII	0.732	16.9378702186	157	1	7.616E-018	0.2165	0
Fe	XIX	0.731	16.9610410397	39	9	9.997E-018	0.8617	0
Fe	XIX	0.73	16.9842753425	18	7	6.715E-018	0.8617	0
Fe	XIX	0.73	16.9842753425	17	7	2.171E-018	0.8617	0
O	VII	0.729	17.0075733882	123	1	1.499E-017	0.2165	0
Fe	XVII	0.727	17.0543617607	3	1	1.927E-015	0.5437	0.2
O	VII	0.726	17.0778526171	93	1	2.166E-017	0.2165	0
Fe	XVI	0.726	17.0778526171	61	5	2.672E-018	0.4319	0
Fe	XV	0.726	17.0778526171	305	10	1.195E-018	0.2165	0
Fe	XVI	0.726	17.0778526171	38	2	1.863E-018	0.3431	0
Fe	XVII	0.725	17.1014082759	2	1	1.644E-015	0.5437	0.17
Fe	XVI	0.725	17.1014082759	120	10	1.24E-018	0.4319	0
Fe	XVI	0.723	17.1487150761	38	3	1.808E-018	0.3431	0
Fe	XVI	0.723	17.1487150761	59	4	1.944E-018	0.3431	0
Fe	XVI	0.723	17.1487150761	60	5	1.195E-018	0.3431	0
Fe	XVI	0.723	17.1487150761	59	5	2.569E-018	0.3431	0
Fe	XVI	0.722	17.172466759	57	4	3.473E-018	0.4319	0
O	VII	0.721	17.1962843273	67	1	3.377E-017	0.2165	0
Fe	XVI	0.721	17.1962843273	37	3	7.014E-018	0.3431	0
Fe	XVI_DRsat	0.72	17.2201680556	10253	4	1.037E-018	0.3431	0
Fe	XVIII	0.72	17.2201680556	38	3	3.36E-018	0.6845	0
Fe	XVI	0.719	17.2441182197	33	2	4.553E-018	0.3431	0
Fe	XVI	0.719	17.2441182197	36	3	6.117E-018	0.3431	0
Fe	XVI	0.719	17.2441182197	35	3	4.661E-018	0.3431	0
Fe	XVI	0.719	17.2441182197	56	4	2.149E-018	0.4319	0
Fe	XVI	0.718	17.2681350975	32	2	1.647E-018	0.3431	0
Fe	XVIII	0.718	17.2681350975	36	3	7.537E-018	0.6845	0
Fe	XIX	0.717	17.2922189679	31	9	2.807E-018	0.8617	0
Mn	XVII	0.716	17.3163701117	9	1	1.227E-018	0.5437	0
Fe	XVI	0.716	17.3163701117	32	3	1.09E-018	0.3431	0
Fe	XVI	0.715	17.3405888112	22	1	1.519E-018	0.3431	0
Cr	XVI	0.714	17.3648753501	56	1	7.118E-018	0.5437	0
Cr	XVIII	0.713	17.389230014	50	6	1.128E-018	0.6845	0
Cr	XVI	0.713	17.389230014	55	1	4.538E-018	0.5437	0
Fe	XIX	0.713	17.389230014	28	9	4.566E-018	0.8617	0
Fe	XVI	0.713	17.389230014	52	5	3.094E-018	0.4319	0
O	VII	0.713	17.389230014	37	1	6.17E-017	0.2165	0.01
Fe	XVI_DRsat	0.712	17.4136530899	10443	1	1.136E-018	0.2725	0
Fe	XVI	0.711	17.4381448664	49	4	1.501E-018	0.3431	0
Fe	XVI	0.711	17.4381448664	50	5	1.024E-018	0.3431	0
Fe	XVI	0.711	17.4381448664	48	4	3.026E-018	0.3431	0
Fe	XVI	0.71	17.4627056338	30	2	1.126E-018	0.3431	0
Cr	XVI	0.71	17.4627056338	52	1	1.6E-018	0.5437	0
Fe	XVI	0.71	17.4627056338	31	3	7.855E-018	0.3431	0
Fe	XIX	0.71	17.4627056338	27	9	1.983E-018	0.8617	0
Fe	XVI_DRsat	0.71	17.4627056338	10117	5	1.246E-018	0.3431	0
Fe	XVI	0.709	17.4873356841	47	4	1.258E-018	0.3431	0
Fe	XVI	0.709	17.4873356841	28	2	3.14E-018	0.3431	0
Fe	XVI	0.708	17.5120353107	46	5	1.244E-018	0.3431	0
Fe	XVI	0.708	17.5120353107	30	3	4.149E-018	0.3431	0
Fe	XVI	0.708	17.5120353107	29	3	7.325E-018	0.3431	0
Fe	XVIII	0.707	17.5368048091	30	3	7.152E-018	0.6845	0
Fe	XVI	0.707	17.5368048091	45	5	9.26E-018	0.3431	0
Fe	XVI	0.707	17.5368048091	27	2	5.657E-018	0.3431	0
Fe	XVI	0.704	17.6115355114	26	3	2.443E-017	0.3431	0
Cr	XVI	0.704	17.6115355114	49	1	2.528E-018	0.5437	0
Fe	XVIII	0.704	17.6115355114	29	3	3.199E-016	0.6845	0.03
Fe	XVI	0.704	17.6115355114	25	3	6.255E-018	0.3431	0
Fe	XIX	0.703	17.6365874822	23	9	4.899E-018	0.8617	0
Ca	XV	0.703	17.6365874822	177	1	5.376E-018	0.4319	0
Fe	XVI	0.703	17.6365874822	24	2	2.633E-018	0.3431	0
Ca	XV	0.701	17.6869058488	177	2	1.003E-018	0.4319	0
Fe	XVI	0.7	17.7121728571	24	3	1.246E-017	0.3431	0
Mn	XVII	0.699	17.7375121602	5	1	1.172E-018	0.5437	0
Ar	XVI	0.699	17.7375121602	11	1	1.831E-018	0.5437	0
O	VII	0.698	17.7629240688	23	1	1.245E-016	0.2165	0.01
Cr	XVI	0.696	17.813966954	41	1	1.563E-018	0.5437	0
Fe	XVIII	0.696	17.813966954	27	3	1.453E-017	0.6845	0
Mn	XVII	0.696	17.813966954	4	1	1.637E-018	0.5437	0
Mn	XVIII	0.695	17.8395985612	37	6	1.068E-018	0.6845	0
Fe	XIX	0.694	17.8653040346	18	9	1.038E-018	0.8617	0
Cr	XVII	0.69	17.9688710145	15	1	1.322E-018	0.5437	0
Ti	XVII	0.688	18.0211061047	41	1	1.75E-018	0.5437	0
Fe	XVIII	0.687	18.0473377001	24	3	2.709E-018	0.6845	0
Fe	XVIII	0.687	18.0473377001	23	3	3.529E-018	0.6845	0
Fe	XVIII	0.685	18.1000306569	22	3	1.045E-017	0.6845	0
Fe	XVIII	0.682	18.1796495601	20	3	1.172E-017	0.6845	0
Fe	XVIII	0.68	18.2331191176	18	3	2.124E-018	0.6845	0
Fe	XVIII	0.68	18.2331191176	16	3	5.619E-018	0.6845	0
Fe	XVIII	0.673	18.4227652303	13	3	1.413E-017	0.6845	0
Cr	XV	0.67	18.5052552239	27	1	2.538E-017	0.3431	0
Cr	XVII	0.67	18.5052552239	11	1	1.332E-018	0.5437	0
Fe	XVIII	0.669	18.532916293	11	3	3.002E-017	0.6845	0
Ar	XVI	0.669	18.532916293	12	2	1.155E-018	0.4319	0
O	VI_DRsat	0.667	18.5884872564	10026	1	1.12E-018	0.1366	0
O	VII	0.666	18.6163978979	13	1	3.774E-016	0.1719	0.04
Ar	XVI	0.665	18.6443924812	13	3	2.082E-018	0.4319	0
Cr	XVII	0.665	18.6443924812	82	6	1.537E-018	0.5437	0
Mn	XVI	0.663	18.7006349925	5	1	1.192E-018	0.4319	0
Ca	XVIII	0.663	18.7006349925	6	1	7.926E-018	0.6845	0
O	VI_DRsat	0.663	18.7006349925	10127	3	1.248E-018	0.1366	0
Ca	XVIII	0.662	18.7288836858	5	1	4.024E-018	0.6845	0
Cr	XIV	0.662	18.7288836858	62	1	1.136E-018	0.2725	0
Ar	XV	0.66	18.7856378788	52	1	2.652E-018	0.3431	0
Cr	XV	0.659	18.8141441578	23	1	5.055E-018	0.3431	0
Ca	XV	0.657	18.8714170472	201	8	1.084E-018	0.4319	0
N	VII	0.657	18.8714170472	52	1	1.123E-018	0.2165	0
O	VII_DRsat	0.656	18.9001844512	10035	17	3.39E-018	0.2165	0
O	VII_DRsat	0.655	18.9290396947	10037	17	1.141E-017	0.2165	0
O	VII_DRsat	0.655	18.9290396947	10075	27	1.922E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10126	41	1.071E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10012	13	3.158E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10077	27	8.189E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10090	28	4.209E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10092	30	9.01E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10091	29	3.591E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10091	31	2.652E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10142	43	3.105E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10143	44	7.835E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10141	42	3.647E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10128	41	6.362E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10142	45	2.298E-018	0.2165	0
Fe	XXIV	0.654	18.9579831804	31	8	1.184E-018	1.719	0
O	VII_DRsat	0.654	18.9579831804	10021	9	2.903E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10053	23	3.21E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10061	19	2.417E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10060	26	1.067E-018	0.2165	0
O	VIII	0.654	18.9579831804	4	1	2.559E-015	0.2725	0.26
O	VII_DRsat	0.654	18.9579831804	10104	37	3.32E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10112	33	2.073E-018	0.2165	0
O	VII_DRsat	0.654	18.9579831804	10089	31	1.364E-018	0.2165	0
Mn	XVI	0.654	18.9579831804	3	1	1.644E-018	0.4319	0
N	VII	0.654	18.9579831804	39	1	1.735E-018	0.2165	0
O	VIII	0.653	18.9870153139	3	1	1.282E-015	0.2725	0.13
O	VII_DRsat	0.653	18.9870153139	10132	38	1.11E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10081	24	1.145E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10071	21	1.257E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10127	41	1.171E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10137	40	8.52E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10118	37	3.005E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10136	40	1.267E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10136	39	4.924E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10135	38	3.031E-018	0.2165	0
O	VII_DRsat	0.653	18.9870153139	10052	18	1.163E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10051	18	1.279E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10071	23	1.06E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10076	27	1.524E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10015	12	2.422E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10086	26	1.08E-017	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10067	23	3.757E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10027	11	1.082E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10085	26	1.284E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10085	25	6.673E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10084	25	1.24E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10084	24	4.469E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10031	11	1.224E-018	0.2165	0
O	VII_DRsat	0.652	19.0161365031	10031	12	4.265E-018	0.2165	0
Ca	XIV	0.652	19.0161365031	252	1	1.881E-018	0.3431	0
Mn	XVI	0.652	19.0161365031	2	1	1.023E-018	0.4319	0
Ca	XIV	0.651	19.0453471582	250	1	3.076E-018	0.3431	0
O	VII_DRsat	0.651	19.0453471582	10016	7	3.229E-018	0.2165	0
Ca	XIV	0.651	19.0453471582	246	1	2.353E-018	0.3431	0
O	VII_DRsat	0.651	19.0453471582	10011	8	3.276E-018	0.2165	0
O	VII_DRsat	0.651	19.0453471582	10023	8	2.305E-018	0.2165	0
O	VII_DRsat	0.651	19.0453471582	10014	13	2.431E-018	0.2165	0
O	VII_DRsat	0.651	19.0453471582	10027	13	4.094E-018	0.2165	0
O	VII_DRsat	0.65	19.0746476923	10046	16	1.128E-017	0.2165	0
O	VII_DRsat	0.65	19.0746476923	10045	15	7.237E-018	0.2165	0
O	VII_DRsat	0.65	19.0746476923	10045	16	1.151E-018	0.2165	0
O	VII_DRsat	0.65	19.0746476923	10044	14	5.109E-018	0.2165	0
O	VII_DRsat	0.65	19.0746476923	10044	15	1.121E-018	0.2165	0
Ca	XIV	0.649	19.1040385208	241	1	2.063E-018	0.3431	0
Ti	XVI	0.649	19.1040385208	54	1	1.143E-018	0.5437	0
N	VII	0.649	19.1040385208	28	1	2.96E-018	0.2165	0
N	VII	0.649	19.1040385208	27	1	1.457E-018	0.2165	0
O	VII_DRsat	0.645	19.2225131783	10002	3	8.504E-018	0.2165	0
Cr	XVI	0.643	19.2823032659	9	1	2.754E-018	0.5437	0
O	VII_DRsat	0.642	19.3123380062	10005	2	1.24E-017	0.2165	0
O	VII_DRsat	0.642	19.3123380062	10004	2	7.446E-018	0.2165	0
O	VII_DRsat	0.642	19.3123380062	10003	2	2.474E-018	0.2165	0
N	VII	0.64	19.3726890625	19	1	5.551E-018	0.2165	0
N	VII	0.64	19.3726890625	18	1	2.47E-018	0.2165	0
O	VI_DRsat	0.64	19.3726890625	10012	1	2.353E-018	0.1366	0
O	VI_DRsat	0.64	19.3726890625	10011	1	1.18E-018	0.1366	0
O	VII_DRsat	0.639	19.4030062598	10017	7	2.729E-017	0.2165	0
O	VI_DRsat	0.638	19.4334184953	10077	2	3.379E-018	0.1366	0
O	VI_DRsat	0.638	19.4334184953	10078	3	6.202E-018	0.1366	0
Ca	XVII	0.634	19.5560268139	15	1	6.692E-018	0.5437	0
Ca	XVII	0.634	19.5560268139	13	1	7.617E-018	0.5437	0
Cr	XVI	0.633	19.5869210111	7	1	1.563E-018	0.5437	0
S	XIV	0.632	19.6179129747	27	1	1.119E-018	0.3431	0
Mn	XVII	0.632	19.6179129747	29	3	1.879E-018	0.5437	0
Ca	XVIII	0.631	19.6490031696	7	2	6.352E-018	0.6845	0
Cr	XVI	0.628	19.7428678344	5	1	2.374E-018	0.5437	0
O	VII_DRsat	0.627	19.7743556619	10001	7	1.225E-018	0.2165	0
Ca	XVIII	0.627	19.7743556619	8	3	1.145E-017	0.6845	0
Ca	XVIII	0.626	19.8059440895	7	3	1.257E-018	0.6845	0
N	VII	0.625	19.8376336	12	1	1.224E-017	0.1719	0
N	VII	0.625	19.8376336	11	1	5.657E-018	0.1719	0
Cr	XVI	0.625	19.8376336	4	1	3.318E-018	0.5437	0
Cr	XVII	0.625	19.8376336	37	6	2.074E-018	0.5437	0
Cr	XVI	0.621	19.9654122383	64	3	1.853E-018	0.5437	0
Ca	XVIII	0.618	20.0623317152	4	2	2.752E-018	0.6845	0
Ca	XVIII	0.613	20.2259722675	4	3	5.791E-018	0.6845	0
Ca	XVII	0.61	20.3254442623	18	3	1.394E-018	0.5437	0
Ti	XV	0.608	20.3923042763	69	1	1.091E-018	0.4319	0
Ti	XV	0.607	20.4258995058	68	1	1.289E-018	0.4319	0
Ar	XV	0.607	20.4258995058	56	5	3.386E-018	0.3431	0
Ca	XVII	0.607	20.4258995058	19	4	2.582E-018	0.5437	0
S	XIV	0.603	20.5613946932	29	3	1.243E-018	0.3431	0
Fe	XXIII	0.602	20.5955498339	182	20	1.438E-018	1.366	0
Ca	XVI	0.601	20.6298186356	36	1	3.915E-018	0.4319	0
S	XIV	0.6	20.6642016667	18	1	2.929E-018	0.3431	0
S	XIV	0.6	20.6642016667	17	1	1.449E-018	0.3431	0
Ar	XV	0.599	20.6986994992	48	5	1.938E-018	0.3431	0
Ca	XVI	0.597	20.768041876	36	2	1.871E-018	0.4319	0
Ca	XIII	0.594	20.8729309764	266	1	1.759E-018	0.2725	0
Ca	XIII	0.594	20.8729309764	262	1	3.153E-018	0.2725	0
Ca	XIII	0.593	20.9081298482	257	1	3.02E-018	0.2725	0
Cr	XV	0.593	20.9081298482	5	1	1.321E-017	0.3431	0
N	VII	0.593	20.9081298482	7	1	4.58E-017	0.1719	0
N	VII	0.593	20.9081298482	6	1	2.143E-017	0.1719	0
Ca	XVI	0.592	20.9434476351	18	1	2.053E-018	0.4319	0
Ar	XIV	0.59	21.0144423729	129	1	4.93E-018	0.3431	0
Ca	XVI	0.59	21.0144423729	33	2	1.211E-018	0.4319	0
Ca	XVII	0.586	21.1578856655	20	5	2.29E-017	0.5437	0
Cr	XV	0.585	21.1940529915	3	1	1.372E-017	0.3431	0
Cr	XV	0.583	21.2667598628	2	1	1.011E-017	0.3431	0
Fe	XXIV	0.581	21.3399672978	18	4	1.598E-018	1.719	0
Ca	XIII	0.581	21.3399672978	220	1	4.39E-018	0.2725	0
Ca	XVI	0.578	21.4507283737	31	1	2.987E-017	0.4319	0
Ca	XVI	0.577	21.4879046794	109	4	1.243E-018	0.4319	0
Ca	XVI	0.577	21.4879046794	108	4	1.338E-018	0.4319	0
O	VI_DRsat	0.575	21.5626452174	10085	6	4.136E-018	0.1366	0
O	VI_DRsat	0.575	21.5626452174	10085	5	1.93E-018	0.1366	0
O	VII	0.574	21.6002108014	7	1	3.109E-015	0.1719	0.32
O	VI_DRsat	0.574	21.6002108014	10161	14	6.638E-018	0.1366	0
O	VI_DRsat	0.574	21.6002108014	10227	21	3.498E-018	0.1719	0
Ca	XVI	0.574	21.6002108014	50	2	2.823E-018	0.4319	0
O	VI_DRsat	0.574	21.6002108014	10118	10	1.652E-018	0.1366	0
O	VI_DRsat	0.574	21.6002108014	10118	11	3.59E-018	0.1366	0
O	VI_DRsat	0.574	21.6002108014	10183	17	1.214E-018	0.1719	0
O	VI_DRsat	0.574	21.6002108014	10183	18	2.694E-018	0.1719	0
O	VI_DRsat	0.574	21.6002108014	10206	20	1.965E-017	0.1719	0
O	VI_DRsat	0.574	21.6002108014	10205	19	1.431E-017	0.1719	0
Ca	XVI	0.573	21.6379075044	31	2	5.899E-018	0.4319	0
O	VI_DRsat	0.573	21.6379075044	10177	16	1.988E-018	0.1719	0
O	VI_DRsat	0.573	21.6379075044	10176	16	1.092E-018	0.1719	0
O	VI_DRsat	0.573	21.6379075044	10187	18	1.654E-017	0.1719	0
O	VI_DRsat	0.573	21.6379075044	10186	18	1.921E-018	0.1719	0
O	VI_DRsat	0.573	21.6379075044	10186	17	9.218E-018	0.1719	0
O	VI_DRsat	0.573	21.6379075044	10139	13	3.577E-018	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10138	13	1.206E-017	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10138	12	3.291E-018	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10139	12	1.275E-017	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10140	13	2.653E-017	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10111	9	2.808E-018	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10112	9	5.259E-018	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10121	10	1.176E-017	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10122	11	2.133E-017	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10121	11	2.513E-018	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10094	7	2.223E-017	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10094	8	2.068E-018	0.1366	0
O	VI_DRsat	0.573	21.6379075044	10095	8	3.251E-017	0.1366	0
S	XIV	0.572	21.675736014	19	2	1.738E-018	0.3431	0
O	VI_DRsat	0.572	21.675736014	10072	4	6.915E-018	0.1366	0
O	VI_DRsat	0.572	21.675736014	10073	4	1.377E-017	0.1366	0
O	VI_DRsat	0.572	21.675736014	10088	5	1.443E-017	0.1366	0
O	VI_DRsat	0.572	21.675736014	10088	6	2.052E-018	0.1366	0
O	VI_DRsat	0.572	21.675736014	10089	6	2.478E-017	0.1366	0
S	XIV	0.571	21.7136970228	20	3	3.137E-018	0.3431	0
Ti	XIV	0.57	21.7517912281	56	1	1.592E-018	0.3431	0
Ti	XIV	0.57	21.7517912281	55	1	1.073E-018	0.3431	0
O	VI_DRsat	0.57	21.7517912281	10068	4	2.394E-018	0.1366	0
O	VI_DRsat	0.57	21.7517912281	10067	4	1.316E-018	0.1366	0
O	VI_DRsat	0.569	21.7900193322	10246	2	2.181E-018	0.1366	0
O	VI_DRsat	0.569	21.7900193322	10246	3	4.636E-018	0.1366	0
O	VI_DRsat	0.569	21.7900193322	10074	6	1.093E-018	0.1366	0
O	VII	0.569	21.7900193322	6	1	4.243E-018	0.1719	0
O	VII	0.569	21.7900193322	5	1	5.554E-016	0.1719	0.06
S	XIV	0.568	21.8283820423	16	3	1.099E-018	0.3431	0
O	VI_DRsat	0.568	21.8283820423	10078	6	1.232E-018	0.1366	0
O	VI_DRsat	0.568	21.8283820423	10001	1	1.839E-018	0.1366	0
O	VI_DRsat	0.568	21.8283820423	10002	1	3.333E-018	0.1366	0
O	VI_DRsat	0.567	21.8668800705	10016	6	1.475E-018	0.1366	0
Fe	XXIV	0.565	21.9442849558	20	6	1.567E-018	1.719	0
O	VI	0.565	21.9442849558	30	1	1.236E-018	0.1719	0
Cr	XVI	0.564	21.9831932624	29	3	3.75E-018	0.5437	0
Ca	XV	0.564	21.9831932624	62	1	3.431E-018	0.4319	0
O	VI_DRsat	0.563	22.0222397869	10004	1	2.129E-017	0.1366	0
O	VI_DRsat	0.563	22.0222397869	10003	1	1.119E-017	0.1366	0
O	VI_DRsat	0.562	22.0614252669	10242	3	1.41E-018	0.1366	0
Ca	XV	0.561	22.1007504456	62	2	1.978E-018	0.4319	0
O	VII	0.561	22.1007504456	2	1	2.439E-015	0.1719	0.25
O	VI_DRsat	0.56	22.1402160714	10247	2	1.507E-017	0.1366	0
O	VI_DRsat	0.56	22.1402160714	10247	3	2.289E-018	0.1366	0
O	VI_DRsat	0.56	22.1402160714	10248	3	2.601E-017	0.1366	0
Ca	XVI	0.56	22.1402160714	111	6	6.678E-018	0.4319	0
Ca	XVII	0.56	22.1402160714	12	5	1.416E-017	0.5437	0
Ca	XVI	0.56	22.1402160714	111	7	1.205E-018	0.4319	0
Fe	XXIV	0.56	22.1402160714	16	6	1.237E-018	1.719	0
Fe	XXIV	0.559	22.179822898	21	7	1.968E-018	1.719	0
S	XIII	0.558	22.2195716846	88	1	3.754E-018	0.2725	0
Fe	XXIV	0.558	22.2195716846	22	8	2.83E-018	1.719	0
Ca	XV	0.558	22.2195716846	148	8	1.903E-018	0.4319	0
O	VI	0.556	22.2994982014	28	1	1.667E-018	0.1719	0
Ar	XIV	0.554	22.3800018051	136	6	1.638E-018	0.3431	0
Ca	XVI	0.548	22.6250383212	95	8	2.037E-018	0.4319	0
N	VI	0.546	22.7079139194	157	1	1.094E-018	0.1366	0
Ca	XV	0.546	22.7079139194	37	2	1.126E-018	0.4319	0
Ca	XV	0.545	22.7495798165	39	1	5.15E-017	0.4319	0.01
N	VI	0.545	22.7495798165	123	1	2.002E-018	0.1366	0
Ca	XV	0.543	22.8333720074	39	2	1.248E-017	0.4319	0
N	VI	0.542	22.8755	93	1	2.91E-018	0.1366	0
Ca	XII	0.542	22.8755	177	1	3.302E-018	0.2725	0
Ca	XII	0.542	22.8755	176	1	2.613E-018	0.2725	0
Ca	XII	0.542	22.8755	175	1	1.581E-018	0.2165	0
Ar	XIII	0.54	22.9602240741	173	1	1.16E-017	0.2725	0
Ca	XVI	0.54	22.9602240741	16	2	1.449E-018	0.4319	0
Ar	XIII	0.539	23.0028218924	173	2	2.406E-018	0.2725	0
S	XIV	0.539	23.0028218924	11	1	9.748E-018	0.3431	0
N	VI	0.539	23.0028218924	67	1	4.671E-018	0.1366	0
Ar	XIII	0.539	23.0028218924	171	2	1.017E-018	0.2725	0
S	XIV	0.539	23.0028218924	10	1	4.859E-018	0.3431	0
Ca	XV	0.539	23.0028218924	36	3	2.3E-018	0.4319	0
Ca	XIV	0.536	23.1315690299	197	6	1.844E-018	0.3431	0
Ca	XV	0.535	23.1748056075	37	4	1.044E-018	0.4319	0
Ca	XII	0.535	23.1748056075	154	1	4.949E-018	0.2725	0
Fe	XXIII	0.533	23.2617654784	108	15	1.368E-018	1.366	0
S	XIII	0.533	23.2617654784	91	4	1.136E-018	0.2725	0
Ca	XII	0.533	23.2617654784	142	1	1.113E-018	0.2165	0
N	VI	0.533	23.2617654784	37	1	8.966E-018	0.1366	0
Ca	XII	0.531	23.3493804143	133	1	2.215E-018	0.2165	0
Ca	XII	0.531	23.3493804143	132	1	1.118E-018	0.2165	0
Ti	XIII	0.53	23.3934358491	27	1	5.964E-018	0.2725	0
Ca	XV	0.528	23.4820473485	34	4	1.363E-018	0.4319	0
Ar	XVI	0.527	23.5266053131	6	1	1.456E-017	0.4319	0
Fe	XXIII	0.526	23.5713326996	100	15	1.186E-018	1.366	0
Ca	XIV	0.526	23.5713326996	97	1	1.294E-018	0.3431	0
Ca	XIV	0.526	23.5713326996	96	1	2.65E-018	0.3431	0
Ca	XVI	0.526	23.5713326996	75	6	1.1E-017	0.4319	0
Ca	XIV	0.526	23.5713326996	95	1	2.45E-018	0.3431	0
Ar	XVI	0.526	23.5713326996	5	1	7.349E-018	0.4319	0
Fe	XXII	0.523	23.706541109	150	16	1.036E-018	1.085	0
Fe	XXII	0.522	23.7519559387	149	16	2.014E-018	1.085	0
N	VI	0.522	23.7519559387	23	1	1.79E-017	0.1366	0
Fe	XXIII	0.521	23.7975451056	111	19	1.204E-018	1.366	0
Ca	XV	0.521	23.7975451056	89	7	1.131E-018	0.4319	0
Ca	XV	0.521	23.7975451056	89	8	5.819E-018	0.4319	0
Ar	XIII	0.52	23.8433096154	185	5	1.041E-018	0.2725	0
K	XVI	0.519	23.8892504817	20	5	1.549E-018	0.4319	0
K	XV	0.518	23.9353687259	22	1	1.548E-018	0.3431	0
Ca	XV	0.517	23.9816653772	104	11	1.02E-018	0.4319	0
Ca	XV	0.517	23.9816653772	104	12	1.026E-018	0.4319	0
Ar	XIII	0.516	24.0281414729	173	5	1.008E-018	0.2725	0
Ca	XIV	0.516	24.0281414729	59	1	1.591E-017	0.3431	0
Ar	XIII	0.516	24.0281414729	228	7	1.14E-018	0.2725	0
Ca	XIV	0.515	24.0747980583	57	1	2.999E-017	0.3431	0
Fe	XXIII	0.514	24.1216361868	114	20	3.47E-018	1.366	0
Ca	XIV	0.514	24.1216361868	56	1	3.936E-017	0.3431	0
Ca	XIV	0.513	24.1686569201	54	1	1.113E-018	0.3431	0
S	XIV	0.512	24.2158613281	12	2	6.225E-018	0.3431	0
Ca	XVI	0.512	24.2158613281	75	8	3.333E-018	0.4319	0
Ca	XV	0.512	24.2158613281	22	1	2.553E-018	0.4319	0
Ca	XIV	0.511	24.2632504892	51	1	6.197E-018	0.3431	0
S	XIII	0.511	24.2632504892	92	5	5.19E-018	0.2725	0
S	XIV	0.511	24.2632504892	13	3	1.124E-017	0.3431	0
S	XIV	0.51	24.3108254902	12	3	1.24E-018	0.3431	0
