# strong X-ray emission lines with Emissivity>1e-18
# with 0.1 keV < energy < 10.1 keV
# www.atomdb.org/Webguide, uses atomDB 3.0.2
ion	ionization_stage	energy	wavelength	upper_lev	lower_lev	emissivity	kT	relative_intensity
#(-)	(-)	(keV)	(A)	(level)	(level)	(ph*cm3/s)	(keV)	(-)
Fe	XXIV	1.682	7.3712966706	19	2	2.42E-018	1.719	0
Fe	XXIV	1.667	7.437625075	20	3	4.447E-018	1.719	0
Fe	XXIV	1.663	7.4555147324	16	3	1.583E-018	1.719	0
Fe	XXIII	1.659	7.473490657	176	5	2.453E-018	1.366	0
Mg	XI	1.659	7.473490657	23	1	4.619E-018	0.5437	0
Fe	XXIII	1.658	7.4779981906	104	1	6.572E-018	1.366	0
Fe	XXIII	1.654	7.4960828295	168	5	1.503E-018	1.366	0
Fe	XXII	1.614	7.6818593556	233	1	3.47E-018	1.085	0
Fe	XXIII	1.603	7.7345733001	107	4	1.678E-018	1.366	0
Al	XII	1.598	7.7587740926	7	1	7.725E-018	0.6845	0
Al	XII	1.588	7.8076328715	5	1	1.312E-018	0.6845	0
Mg	XI	1.579	7.8521348955	13	1	1.425E-017	0.5437	0
Fe	XXII	1.576	7.8670818528	167	1	1.31E-018	1.085	0
Fe	XXII	1.576	7.8670818528	168	1	1.913E-018	1.085	0
Al	XII	1.575	7.8720768254	2	1	4.354E-018	0.6845	0
Fe	XXIII	1.569	7.9021803697	108	5	6.101E-018	1.366	0
Fe	XXIII	1.562	7.9375934699	100	5	3.121E-018	1.366	0
Fe	XXIV	1.553	7.9835936896	11	1	1.564E-017	1.719	0
Fe	XXIV	1.551	7.9938884591	10	1	7.747E-018	1.719	0
Fe	XXII	1.532	8.0930293734	151	1	7.843E-018	1.085	0
Fe	XXII	1.518	8.167668643	151	2	1.497E-018	1.085	0
Fe	XXII	1.518	8.167668643	152	2	1.95E-018	1.085	0
Fe	XXIV	1.506	8.232749668	12	2	8.567E-018	1.719	0
Ni	XXIII	1.499	8.2711947965	248	1	2.04E-018	1.366	0
